id,true_label,pred_label,method,method_full,alpha_adaptive,top_tokens,text
0,4,4,Attention,attention,,"[[""Ġhesitant"", 0.4784633728002042], [""Ġcause"", 0.4784633728002042], [""Ġleaving"", 0.013351210423763788], [""Ġbe"", 0.013351210423763788], [""Ġfeel"", 0.0026580202617868067], [""Ġdo"", 0.0026580202617868067], [""Ġgoing"", 0.0017235273175417577], [""Ġto"", 0.0017235273175417577], [""anta"", 0.0017126363994689584], [""Ġhere"", 0.0009503032706065778]]",i do feel hesitant cause i am going to be leaving my friends that are here in atlanta
0,4,4,Integrated Gradients,ig,,"[[""Ġhesitant"", 0.5080945599896647], [""Ġfeel"", 0.1406354720364821], [""Ġcause"", 0.13918808937033114], [""Ġi"", 0.024941285023282352], [""i"", 0.024466850678694637], [""Ġgoing"", 0.023865801504428703], [""Ġleaving"", 0.023052954629724242], [""Ġto"", 0.02081248069388426], [""Ġfriends"", 0.015050051327600088], [""Ġbe"", 0.014656785020123584]]",i do feel hesitant cause i am going to be leaving my friends that are here in atlanta
0,4,4,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġhesitant"", 0.4975956793561779], [""Ġcause"", 0.34418522202979934], [""Ġfeel"", 0.05928373881708266], [""Ġleaving"", 0.01680319271847908], [""Ġbe"", 0.01331162962001611], [""Ġgoing"", 0.010164113896971595], [""Ġi"", 0.009688663336303532], [""i"", 0.009381991300428858], [""Ġto"", 0.008894384631655684], [""Ġfriends"", 0.0058920336703743295]]",i do feel hesitant cause i am going to be leaving my friends that are here in atlanta
0,4,4,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.43727370724756554,"[[""Ġhesitant"", 0.4951376209171826], [""Ġcause"", 0.2875442503331802], [""Ġfeel"", 0.08030156018238889], [""Ġleaving"", 0.01881063697401632], [""Ġgoing"", 0.01418356718383657], [""Ġi"", 0.014116368976638202], [""Ġbe"", 0.014085891576285089], [""i"", 0.013769684671749681], [""Ġto"", 0.012465383283535037], [""Ġfriends"", 0.008781072927549795]]",i do feel hesitant cause i am going to be leaving my friends that are here in atlanta
1,0,0,Attention,attention,,"[[""Ġawful"", 0.9633778421794595], [""Ġme"", 0.016006334660528997], [""Ġfeel"", 0.016006334660528997], [""Ġdog"", 0.0017174686597291255], [""Ġdies"", 0.0017174686597291255], [""i"", 0.00039666972514919876], [""Ġi"", 0.00011141701900862191], [""Ġknow"", 0.00011141701900862191], [""Ġbut"", 7.510492898131438e-05], [""Ġtime"", 7.510492898131438e-05]]",i know i bitch about these dogs all the time but when that dog dies its going to make me feel awful
1,0,0,Integrated Gradients,ig,,"[[""Ġawful"", 0.3913638192993597], [""Ġfeel"", 0.21499828840212942], [""i"", 0.0753564598136822], [""Ġknow"", 0.05774801321432714], [""Ġme"", 0.030071235250368106], [""Ġmake"", 0.02716689957254281], [""Ġbitch"", 0.02513476558759366], [""Ġi"", 0.022285842342962988], [""Ġdogs"", 0.018264440688943444], [""Ġdies"", 0.015119265048082392]]",i know i bitch about these dogs all the time but when that dog dies its going to make me feel awful
1,0,0,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġawful"", 0.7609881586123095], [""Ġfeel"", 0.10845163076859357], [""i"", 0.03263840873912244], [""Ġknow"", 0.02408876918028773], [""Ġme"", 0.020459871594071803], [""Ġmake"", 0.009483852830702815], [""Ġbitch"", 0.00851725617523301], [""Ġi"", 0.007215203382653668], [""Ġdogs"", 0.005277733115225353], [""Ġdies"", 0.004769174110542243]]",i know i bitch about these dogs all the time but when that dog dies its going to make me feel awful
1,0,0,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.5042763469748313,"[[""Ġawful"", 0.679816961175714], [""Ġfeel"", 0.11465135289193056], [""i"", 0.037556010697836616], [""Ġknow"", 0.02868324103288846], [""Ġme"", 0.022978638560359893], [""Ġmake"", 0.013478217188033687], [""Ġbitch"", 0.012471118230949926], [""Ġi"", 0.01110380414433309], [""Ġdogs"", 0.00909012606128074], [""Ġdies"", 0.00836105612246312]]",i know i bitch about these dogs all the time but when that dog dies its going to make me feel awful
2,4,4,Attention,attention,,"[[""Ġbit"", 0.49797514212080596], [""Ġshaken"", 0.49797514212080596], [""Ġtoday"", 0.00370292383737042], [""Ġfeel"", 0.00015765473420673414], [""Ġa"", 0.00015765473420673414], [""i"", 3.1482452604225983e-05]]",i feel a bit shaken today
2,4,4,Integrated Gradients,ig,,"[[""Ġshaken"", 0.5309566874948721], [""Ġbit"", 0.21179356734746585], [""Ġtoday"", 0.20627925922654158], [""i"", 0.02214028628214068], [""Ġa"", 0.01544965018288792], [""Ġfeel"", 0.013380549466091823]]",i feel a bit shaken today
2,4,4,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġshaken"", 0.5239250613904705], [""Ġbit"", 0.3851157436795994], [""Ġtoday"", 0.08609811910928172], [""i"", 0.0038097543669862568], [""Ġa"", 0.0009756037820325736], [""Ġfeel"", 7.571767162955516e-05]]",i feel a bit shaken today
2,4,4,Hybrid (Adaptive α),hybrid_adaptive__norm=sum__amin=0.10__amax=0.60,0.4890022069315002,"[[""Ġshaken"", 0.5148286390189424], [""Ġbit"", 0.35173698899476136], [""Ġtoday"", 0.10721898414914113], [""i"", 0.011329032416881752], [""Ġa"", 0.007971830660096366], [""Ġfeel"", 0.006914524760177108]]",i feel a bit shaken today
3,1,1,Attention,attention,,"[[""Ġfeel"", 0.4963090960119259], [""Ġplayful"", 0.4963090960119259], [""ymes"", 0.0071199084169011], [""Ġand"", 0.00010617564130778347], [""Ġrh"", 0.00010617564130778347], [""i"", 3.3229304758629306e-05], [""Ġknow"", 2.819334637224809e-06], [""Ġi"", 2.819334637224809e-06], [""Ġthan"", 1.5013227810278368e-06], [""Ġyounger"", 1.5013227810278368e-06]]",i am much younger than that by at least two years but you know i feel playful and rhymes
3,1,1,Integrated Gradients,ig,,"[[""Ġplayful"", 0.33404042919986593], [""Ġfeel"", 0.1532762384575751], [""Ġand"", 0.09136255282303109], [""i"", 0.06762177730226035], [""Ġi"", 0.05049008285700935], [""ymes"", 0.03260809473135363], [""Ġknow"", 0.02794149945516849], [""Ġrh"", 0.02769387557501553], [""Ġyounger"", 0.026415354506334157], [""Ġam"", 0.025808072131151067]]",i am much younger than that by at least two years but you know i feel playful and rhymes
3,1,1,Hybrid (Fixed α),hybrid_fixed__norm=minmax__alpha=0.60,,"[[""Ġplayful"", 0.4499259743756925], [""Ġfeel"", 0.3658319147294023], [""Ġand"", 0.0393060508719652], [""i"", 0.02821773818106443], [""Ġi"", 0.02022958544057799], [""ymes"", 0.016180899137948384], [""Ġknow"", 0.009739665342204617], [""Ġrh"", 0.009686481198853025], [""Ġyounger"", 0.009028890304785337], [""Ġam"", 0.008746185031704436]]",i am much younger than that by at least two years but you know i feel playful and rhymes
