text,true_label,pred_label,pred_conf,num_deletable,spearman_attn_ig,alpha_adaptive,attention_auc,attention_comp,attention_suff,ig_auc,ig_comp,ig_suff,hybrid_fixed__norm=minmax__alpha=0.60_auc,hybrid_fixed__norm=minmax__alpha=0.60_comp,hybrid_fixed__norm=minmax__alpha=0.60_suff,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60_auc,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60_comp,hybrid_adaptive__norm=sum__amin=0.10__amax=0.60_suff,random_auc,random_comp,random_suff
i do feel hesitant cause i am going to be leaving my friends that are here in atlanta,4,4,0.9999798536300659,20,0.32817993726995925,0.43727370724756554,0.14503512859519105,0.999611024511978,0.9888132177293301,0.13242643502308055,0.9981232938589528,8.511543273925781e-05,0.14742467129544823,0.7533860206604004,4.3511390686035156e-05,0.15500567095295992,0.7533860206604004,4.3511390686035156e-05,0.49618485466926365,0.1539720267057419,0.6095151816494763
i know i bitch about these dogs all the time but when that dog dies its going to make me feel awful,0,0,0.999984860420227,22,0.4484729186645951,0.5042763469748313,0.2805121043697,0.8708816766738892,-7.987022399902344e-06,0.493950823880732,0.44356173276901245,-7.748603820800781e-06,0.4408063931390643,0.44356173276901245,-7.748603820800781e-06,0.4408063931390643,0.44356173276901245,-7.748603820800781e-06,0.49361809102818366,0.16856685578823088,0.5735044959932566
i feel a bit shaken today,4,4,0.9998674392700195,6,0.7944613465542746,0.4890022069315002,0.4021587264258415,0.9987942788284272,0.023949742317199707,0.2070152869913727,0.9987942788284272,0.023949742317199707,0.2070152869913727,0.9987942788284272,0.023949742317199707,0.2070152869913727,0.9987942788284272,0.023949742317199707,0.601740780188702,0.18972330167889595,0.663534207129851
i am much younger than that by at least two years but you know i feel playful and rhymes,1,1,0.9999339580535889,20,0.8932529786842109,0.5350452084417819,0.12753383908675459,0.7203531563282013,0.08166360855102539,0.11896705981016568,0.8806217312812805,-4.947185516357422e-05,0.11896705981016568,0.8806217312812805,-4.947185516357422e-05,0.11896705981016568,0.8806217312812805,-4.947185516357422e-05,0.553223636277471,0.0008435845375061035,0.8182470340747386
i had been feeling weird all week moody and annoyed,4,5,0.6398376822471619,11,0.6161326564280818,0.4456511042600655,0.03700805102559457,0.6398374555658108,0.09206122159957886,0.035002538646767785,0.6397879417381773,0.19857779145240784,0.03526025611881778,0.6386105761630461,-0.13798534870147705,0.03526025611881778,0.6386105761630461,-0.13798534870147705,0.2382082704779805,0.24199304054377535,0.6248014410783072
i get too uncomfortable and if i force myself to go through with it i feel miserable depressed disgusting and guilty for days,0,0,0.9999828338623047,23,0.6965594349568962,0.4891483870298349,0.4538932085037232,0.00044476985931396484,-1.1324882507324219e-05,0.4364286754280328,0.000701606273651123,0.30741822719573975,0.4570478152483701,0.00044476985931396484,-1.1324882507324219e-05,0.4570478152483701,0.00044476985931396484,-1.1324882507324219e-05,0.6954807058069855,0.00031430721282958983,0.8097344607114791
i try to squash that feeling because i know its dumb,0,0,0.9999890327453613,11,0.6115346515293649,0.46722555646150754,0.2871994409331819,0.7020080387592316,0.11890935897827148,0.23465864681638776,0.7027400434017181,0.0031769871711730957,0.2581309365574271,0.7027400434017181,0.0031769871711730957,0.2581309365574271,0.7027400434017181,0.0031769871711730957,0.32628637977875774,0.53250622600317,0.7479782994836569
i think my expectations were set too high this morning hence i am feeling dissatisfied,3,3,0.999996542930603,15,0.596597603577287,0.48718359039797077,0.16686873720027506,0.985830363817513,5.841255187988281e-06,0.4583902233280242,0.978987880051136,1.0371208190917969e-05,0.4583902233280242,0.978987880051136,1.0371208190917969e-05,0.4583902233280242,0.978987880051136,1.0371208190917969e-05,0.5115132782631553,1.049041748046875e-06,0.6591875597834587
i feel im faithful,1,2,0.5614646673202515,4,0.632455532033676,0.5402983275261587,0.16055510995993247,-0.08620578050613403,0.5603166958317161,0.20040231877555925,-0.08620578050613403,0.5603166958317161,0.20040231877555925,-0.08620578050613403,0.5603166958317161,0.20040231877555925,-0.08620578050613403,0.5603166958317161,0.10668761816905317,0.4089033782482147,0.5583712140331045
i keep my culture and feel awkward,0,0,0.9999918937683105,7,0.9177788727679405,0.5149705968188996,0.2805692069232464,0.4436129331588745,0.00011098384857177734,0.27226937422528863,0.4436129331588745,0.00011098384857177734,0.27226937422528863,0.4436129331588745,0.00011098384857177734,0.27226937422528863,0.4436129331588745,0.00011098384857177734,0.3858175494521857,0.5360404785722495,0.7108818754553795
i know itll most likely leave me feeling even more rubbish about myself at a time when im already pretty vulnerable,4,0,0.9825687408447266,22,0.8255978729961865,0.4891406849092922,0.1081381197929204,0.9596953205764294,0.925401508808136,0.12416170268115823,0.8829786479473114,0.9268130324780941,0.18014550347847944,0.8829786479473114,0.9268130324780941,0.18014550347847944,0.8829786479473114,0.9268130324780941,0.3247551596921744,0.43050694894045594,0.8235888604074717
i was feeling fairly calm happy and confident,1,1,0.9999698400497437,8,0.7152697513290863,0.4285649006354255,0.74717799442642,4.1484832763671875e-05,0.9004534333944321,0.4234050950390156,0.01468878984451294,0.10329091548919678,0.5999821639043148,4.1484832763671875e-05,0.9004534333944321,0.5999821639043148,4.1484832763671875e-05,0.9004534333944321,0.7055090082698372,0.006928098201751709,0.7676522552967071
i feel so passionate about bringing light to the rape culture that seems to be a growing global pandemic,1,2,0.5276029706001282,20,0.38551712171252683,0.43165920734016716,0.07549091160644822,0.3435737192630768,0.5186758963391185,0.02854625587766009,0.527595729067798,0.05845457315444946,0.11773351248944552,-0.3632831573486328,0.125407874584198,0.1176552697048976,-0.3632831573486328,0.125407874584198,0.22985552236887088,0.09278214424848556,0.5237054866767721
i started feeling the stronger symptoms tender breasts bloating headaches lower back pain etc,2,2,0.9999769926071167,15,0.463621029285964,0.44975593184392904,0.06036150283960069,0.9955631005577743,0.6745522916316986,0.05146246877100112,0.9955631005577743,0.6745522916316986,0.05157058612874153,0.9955631005577743,0.6745522916316986,0.05157058612874153,0.9955631005577743,0.6745522916316986,0.38623327500145244,0.1872018665075302,0.9919231483687326
i feel like i ve tortured you with my ramblings,4,4,0.5188037753105164,12,0.4409342521371097,0.460151126158058,0.22565108749549834,0.5183686443488114,0.18481147289276123,0.19687079605646432,0.4251018390059471,0.3898143321275711,0.1509273838601075,0.4251018390059471,0.3898143321275711,0.1509273838601075,0.4251018390059471,0.3898143321275711,0.386622300571762,0.15481197740882635,0.2945402391254902
i learned new ways to solve conflict such as waiting a while until i m not seeing red and feeling violent and then calmly talk about what happened and own my feelings,3,3,0.9999898672103882,32,0.4571904854556721,0.4669503437205006,0.46719972882419825,0.5841838717460632,0.977969940751791,0.4398553803563118,0.9557376205921173,-3.5762786865234375e-06,0.4398553803563118,0.9557376205921173,-3.5762786865234375e-06,0.4398553803563118,0.9557376205921173,-3.5762786865234375e-06,0.5257491457389916,2.574920654296875e-06,0.8444420330226421
i feel contented and calm when things don t go to plan,1,1,0.9999761581420898,13,0.5540357517508993,0.4335496160774528,0.3702510811192042,0.17861366271972656,0.0016543269157409668,0.2567342746892792,0.17861366271972656,0.0016543269157409668,0.29203080998777303,0.17861366271972656,0.0016543269157409668,0.3094715435683611,0.17861366271972656,0.0016543269157409668,0.478965148122079,0.09598476886749267,0.48262488543987275
i see girls who have the figure but don t bother to dress up properly i feel very disturbed,0,0,0.9999743700027466,19,0.7309612662650955,0.5119375790972996,0.1145636543209548,0.9869108283892274,-1.1920928955078125e-06,0.30063406551635125,0.9999142157466849,-7.3909759521484375e-06,0.30063406551635125,0.9999142157466849,-7.3909759521484375e-06,0.30063406551635125,0.9999142157466849,-7.3909759521484375e-06,0.33563618522632166,0.5341586399823427,0.6934853387996555
i would feel ludicrous being in a scene with him at this point,0,5,0.7390419244766235,13,0.10803697159142535,0.4102153177990616,0.04871657871408388,0.7139454651623964,0.7014717273414135,0.0511212951968588,0.7240238767117262,0.6983384042978287,0.0511212951968588,0.7240238767117262,0.6983384042978287,0.0511212951968588,0.7240238767117262,0.6983384042978287,0.16303443276628968,0.40463475286960604,0.7278597528813406
i feel disturbed that we only hear about this technique when the drug companies haven t been able to produce enough vaccine,0,0,0.9999641180038452,22,0.4133651901832757,0.4665006298369986,0.44174005901440977,0.02988564968109131,0.036083340644836426,0.4071964859962463,0.8340711742639542,2.2649765014648438e-06,0.4071964859962463,0.8340711742639542,2.2649765014648438e-06,0.4071964859962463,0.8340711742639542,2.2649765014648438e-06,0.5569608626374974,0.09242218732833862,0.8325391296297312
i was feeling weepy about it all day,0,0,0.9999902248382568,9,0.6780635036208105,0.45326184417840165,0.10347071494907141,0.9679583236575127,0.9897305453196168,0.18614861909300084,0.9679583236575127,0.9897305453196168,0.16565991956740614,0.9679583236575127,0.9897305453196168,0.16565991956740614,0.9679583236575127,0.9897305453196168,0.5913362231291831,0.1936487302184105,0.9194021007046104
i keep feeling like i should pinch myself to make sure its real because the sheer quantity of awesomeness im about to receive is amazing,1,1,0.9999725818634033,28,0.6955459981779047,0.4630598356824822,0.5002806470591167,0.6039453446865082,0.08604604005813599,0.17226637464409578,0.22180217504501343,0.008907020092010498,0.32625505973774127,0.5477764010429382,0.12039482593536377,0.21657662967409125,0.22180217504501343,0.008907020092010498,0.5273494042527455,0.3080893397331238,0.7148706470616162
i often feel overwhelmed by the writing task before me,5,5,0.6046654582023621,10,0.2576881100387365,0.3862524681078021,0.038528688380756654,0.5777841098606586,0.6042229706072249,0.03532557735052251,0.5802174303680658,-0.05951201915740967,0.03777877869615623,0.5777841098606586,0.6042229706072249,0.036929213752227956,0.5777841098606586,0.6042229706072249,0.1289490316023148,0.19503492303192616,0.47069030116726934
i love you and essentially go back on it youre obligated to probe your feelings for a justification or an explanation even if its unpleasant or even agonizing,0,0,0.9999854564666748,30,0.5022287748817835,0.4607841391641777,0.34043146079638975,0.007213413715362549,0.8816380500793457,0.21019660239981022,0.3539838194847107,0.03024846315383911,0.20681210333423225,0.1389995813369751,0.5230650305747986,0.23617898752854674,0.1389995813369751,0.5230650305747986,0.5183593759220093,0.2414821468293667,0.9184281899128109
i feel like i can do so much with you supporting me,2,2,0.5741567611694336,12,0.4726815182909816,0.44906693454006874,0.054769783806659686,0.5520898811519146,0.05072540044784546,0.05643728637714958,0.5520898811519146,0.05072540044784546,0.04925145615470683,0.5520898811519146,0.05072540044784546,0.04925145615470683,0.5520898811519146,0.05072540044784546,0.21911013020009704,0.17093253880739212,0.4957513559085783
i know that accepting responsibility can be tough sometimes especially when you truly feel that you are being victimized by something more powerful than you,0,0,0.9999624490737915,25,0.6757920930565026,0.47032348952788794,0.14290725117607506,0.9164788201451302,-1.4781951904296875e-05,0.3100459639763357,0.8561272323131561,0.0017570257186889648,0.2568427864229306,0.8561272323131561,0.0017570257186889648,0.2725815720623359,0.8561272323131561,0.0017570257186889648,0.44893207494314996,0.3800053969025612,0.8457510791635287
i have a feeling this is going to be a trend with bella andres books because hot is an understatement,2,2,0.9999129772186279,22,0.5237846587938768,0.47419557991547856,0.061580508878773796,0.9915798166766763,0.0002491474151611328,0.07290658061399428,0.9820063170045614,0.006576418876647949,0.07291475946847187,0.9820063170045614,0.006576418876647949,0.07291475946847187,0.9820063170045614,0.006576418876647949,0.2581155365686004,0.7349921461194754,0.9938591299593099
i woke up with a total stranger in my bed i think i d feel disappointed that our intimate encounter had turned out to be so meaningless,0,0,0.9999531507492065,27,0.6343490132070888,0.5003051411397803,0.24214651035144927,0.965293787419796,-3.7550926208496094e-05,0.43886015117168437,0.7375210523605347,-3.3974647521972656e-05,0.43886015117168437,0.7375210523605347,-3.3974647521972656e-05,0.43886015117168437,0.7375210523605347,-3.3974647521972656e-05,0.5605733024096117,0.00370173454284668,0.6829440075904131
i had high expectations for this product but unfortunately was left feeling a little disappointed as this for me was a bit underwhelming,0,0,0.9999837875366211,24,0.286337715187623,0.4484374788294574,0.809531794115901,0.009438633918762207,0.000156402587890625,0.4364998934790492,0.12612974643707275,0.0008077025413513184,0.41720719318836924,0.12612974643707275,0.0008077025413513184,0.41720719318836924,0.12612974643707275,0.0008077025413513184,0.4804991681687535,0.4061824407428503,0.8372415412217379
i feel badly about getting aggravated too cuz he does a lot for us and asks minimally of me,3,3,0.9999923706054688,21,0.5224783418377263,0.47401824784868074,0.30549878394231206,0.9566902592778206,0.0004934072494506836,0.42382761207409203,0.9728308916091919,0.0006528496742248535,0.4278848033864051,0.9322589784860611,0.010456323623657227,0.4278848033864051,0.9322589784860611,0.010456323623657227,0.5460620881430805,0.19035092741250992,0.7654102213680745
i bought teal nail polish yesterday painted my nails teal and now i m feeling distracted as i m typing,3,3,0.9999927282333374,22,0.664215572719154,0.4927517966391648,0.5748682120814919,0.47180312871932983,0.00017338991165161133,0.44016295000910766,0.33600014448165894,-1.7881393432617188e-06,0.4408342652022839,0.33600014448165894,-1.7881393432617188e-06,0.4408342652022839,0.33600014448165894,-1.7881393432617188e-06,0.5780283320738818,0.20224960400955752,0.46094410456717017
